,ステータス,開花,3分咲き,5分咲き,8分咲き（満開）,散り始め,花＋若葉（葉桜）,葉のみ,摘要,
No.,都道府県,開始日,,,,,,,,
例,麒麟県晴風市,4月15日,4月18日,4月20日,4月22日,4月26日,4月30日,5月15日,,
01,北海道函館市,4月21日,4月22日,4月24日,4月26日,5月1日,5月6日,5月11日,満開（8分咲き）から散り初めまでの期間は5日を目安、10日後に葉のみ,
02,青森県青森市,4月17日,4月19日,4月20日,4月22日,4月27日,5月2日,5月7日,同上,
03,岩手県盛岡市,4月12日,4月13日,4月15日,4月17日,4月22日,4月27日,5月2日,同上,
04,秋田県秋田市,4月12日,4月13日,4月15日,4月17日,4月21日,4月26日,5月1日,同上,
05,宮城県仙台市,4月5日,4月7日,4月9日,4月11日,4月16日,4月21日,4月26日,同上,
06,山形県山形市,4月8日,4月9日,4月10日,4月12日,4月17日,4月22日,4月27日,同上,
07,福島県福島市,4月3日,4月5日,4月8日,4月10日,4月16日,4月21日,4月26日,満開まで5日、満開（8分咲き）から散り初めまでの期間は6日を目安、同上,
08,群馬県前橋市,3月28日,3月31日,4月3日,4月6日,4月11日,4月17日,4月21日,同上,
09,栃木県宇都宮市,3月28日,3月31日,4月3日,4月7日,4月12日,4月18日,4月22日,同上,
10,茨城県水戸市,3月27日,3月29日,3月31日,4月4日,4月10日,4月16日,4月20日,同上,
11,埼玉県熊谷市,3月27日,3月29日,4月2日,4月5日,4月11日,4月17日,4月21日,同上,
12,東京都千代田区,3月24日,3月26日,3月28日,3月30日,4月5日,4月11日,4月15日,同上,
13,千葉県銚子市,3月27日,3月29日,4月1日,4月2日,4月8日,4月14日,4月18日,同上,
14,神奈川県横浜市,3月25日,3月28日,3月30日,4月2日,4月8日,4月14日,4月18日,同上,
15,長野県長野市,4月6日,4月8日,4月9日,4月11日,4月16日,4月21日,4月26日,満開（8分咲き）から散り初めまでの期間は5日を目安、同上,
16,山梨県甲府市,3月26日,3月28日,3月30日,4月2日,4月8日,4月13日,4月18日,満開（8分咲き）から散り初めまでの期間は６日を目安、同上,
17,静岡県静岡市,3月26日,3月28日,3月30日,4月2日,4月8日,4月13日,4月18日,同上,
18,愛知県名古屋市,3月26日,3月28日,3月30日,4月2日,4月8日,4月13日,4月18日,同上,
19,岐阜県岐阜市,3月25日,3月28日,3月30日,4月1日,4月7日,4月12日,4月17日,同上,
20,三重県津市,3月28日,3月30日,4月1日,4月3日,4月8日,4月13日,4月18日,同上,
21,新潟県新潟市,4月6日,4月8日,4月10日,4月11日,4月16日,4月21日,4月26日,満開（8分咲き）から散り初めまでの期間は5日を目安、10日後に葉のみ,
22,富山県富山市,4月2日,4月4日,4月6日,4月8日,4月14日,4月19日,4月24日,満開（8分咲き）から散り初めまでの期間は６日を目安、同上,
23,石川県金沢市,3月29日,3月31日,4月3日,4月6日,4月12日,4月18日,4月22日,同上,
24,福井県福井市,4月5日,4月7日,4月9日,4月11日,4月16日,4月21日,4月26日,満開（8分咲き）から散り初めまでの期間は5日を目安、10日後に葉のみ,
25,大阪府大阪市,3月27日,3月31日,4月3日,4月5日,4月12日,4月27日,4月22日,満開（8分咲き）から散り初めまでの期間は6日を目安、10日後に葉のみ,
26,滋賀県彦根市,4月4日,4月6日,4月7日,4月9日,4月14日,4月19日,4月24日,満開（8分咲き）から散り初めまでの期間は5日を目安、10日後に葉のみ,
27,京都府京都市,3月27日,3月29日,4月1日,4月4日,4月10日,4月16日,4月20日,満開（8分咲き）から散り初めまでの期間は6日を目安、10日後に葉のみ,
28,兵庫県神戸市,3月27日,3月29日,4月1日,4月3日,4月9日,4月15日,4月19日,同上,
29,奈良県奈良市,3月28日,3月30日,4月1日,4月3日,4月9日,4月15日,4月19日,同上,
30,和歌山県和歌山市,3月26日,3月28日,3月29日,3月30日,4月6日,4月12日,4月16日,同上,
31,広島県広島市,3月26日,3月28日,3月31日,4月2日,4月9日,4月15日,4月19日,同上,
32,岡山県岡山市,3月28日,3月30日,4月2日,4月5日,4月11日,4月16日,4月21日,同上,
33,島根県松江市,3月27日,3月29日,3月31日,4月2日,4月8日,4月12日,4月18日,同上,
34,鳥取県鳥取市,3月27日,3月31日,4月2日,4月5日,4月11日,4月16日,4月21日,同上,
35,山口県下関市,3月26日,3月29日,4月1日,4月3日,4月9日,4月14日,4月19日,同上,
36,香川県高松市,3月26日,3月29日,4月1日,4月3日,4月9日,4月14日,4月19日,同上,
37,徳島県徳島市,3月26日,3月29日,4月1日,4月3日,4月9日,4月14日,4月19日,同上,
38,愛媛県松山市,3月25日,3月27日,3月28日,3月30日,4月5日,4月10日,4月15日,同上,
39,高知県高知市,3月23日,3月25日,3月26日,3月28日,4月3日,4月8日,4月13日,同上,
40,福岡県福岡市,3月25日,3月26日,3月27日,3月28日,4月3日,4月8日,4月13日,同上,
41,大分県大分市,3月25日,3月28日,3月30日,4月1日,4月7日,4月13日,4月17日,同上,
42,長崎県長崎市,3月24日,3月27日,3月29日,3月31日,4月6日,4月11日,4月16日,同上,
43,佐賀県佐賀市,3月25日,3月28日,3月30日,4月2日,4月7日,4月12日,4月17日,同上,
44,熊本県熊本市,3月23日,3月25日,3月26日,3月28日,4月3日,4月9日,4月13日,同上,
45,宮崎県宮崎市,3月24日,3月27日,3月30日,4月2日,4月9日,4月15日,4月19日,同上,
46,鹿児島県鹿児島市,3月24日,3月27日,3月30日,4月2日,4月9日,4月15日,4月19日,同上,
47,沖縄県那覇市,-,-,-,-,-,-,-,,
