code,prefecture,jititai,city_kana,zip,address,tel,latitude,longitude,,区判定,No
011002,北海道,札幌市,さっぽろし,060-8611,北海道札幌市中央区北1条西2丁目,011-211-2111,43.0626377,141.3539212,Google Maps,,1
012025,北海道,函館市,はこだてし,040-8666,北海道函館市東雲町4-13,0138-21-3111,41.76867,140.7289417,Google Maps,,2
012033,北海道,小樽市,おたるし,047-8660,北海道小樽市花園2-12-1,0134-32-4111,43.1906415,140.9944642,Google Maps,,3
012041,北海道,旭川市,あさひかわし,070-8525,北海道旭川市7条通9丁目,0166-26-1111,43.7713538,142.3647521,Google Maps,,4
012050,北海道,室蘭市,むろらんし,051-8511,北海道室蘭市幸町1-2,0143-22-1111,42.3151943,140.9737454,Google Maps,,5
012068,北海道,釧路市,くしろし,085-8505,北海道釧路市黒金町7-5,0154-23-5151,42.9848268,144.3814012,Google Maps,,6
012076,北海道,帯広市,おびひろし,080-8670,北海道帯広市西5条南7-1,0155-24-4111,42.9243517,143.1978955,Google Maps,,7
012084,北海道,北見市,きたみし,090-8501,北海道北見市大通西3丁目1番地1,0157-23-7111,43.803326,143.8951145,Google Maps,,8
012092,北海道,夕張市,ゆうばりし,068-0492,北海道夕張市本町4-2,0123-52-3131,43.0567461,141.9740038,Google Maps,,9
012106,北海道,岩見沢市,いわみざわし,068-8686,北海道岩見沢市鳩が丘1-1-1,0126-23-4111,43.1960336,141.7753378,Google Maps,,10
012114,北海道,網走市,あばしりし,093-8555,北海道網走市南6条東4丁目,0152-44-6111,44.0202548,144.2735233,Google Maps,,11
012122,北海道,留萌市,るもいし,077-8601,北海道留萌市幸町1-11,0164-42-1801,43.9409637,141.6368983,Google Maps,,12
012131,北海道,苫小牧市,とまこまいし,053-8722,北海道苫小牧市旭町4-5-6,0144-32-6111,42.6340685,141.6055413,Google Maps,,13
012149,北海道,稚内市,わっかないし,097-8686,北海道稚内市中央3-13-15,0162-23-6161,45.4156725,141.673072,Google Maps,,14
012157,北海道,美唄市,びばいし,072-8660,北海道美唄市西3条南1-1-1,0126-62-3131,43.3328672,141.853832,Google Maps,,15
012165,北海道,芦別市,あしべつし,075-8711,北海道芦別市北1条東1-3,0124-22-2111,43.5181893,142.1894459,Google Maps,,16
012173,北海道,江別市,えべつし,067-8674,北海道江別市高砂町6,011-382-4141,43.1031063,141.5388453,Google Maps,,17
012181,北海道,赤平市,あかびらし,079-1192,北海道赤平市泉町4-1,0125-32-2211,43.5582516,142.0436565,Google Maps,,18
012190,北海道,紋別市,もんべつし,094-8707,北海道紋別市幸町2-1-18,0158-24-2111,44.3564472,143.3542721,Google Maps,,19
012203,北海道,士別市,しべつし,095-8686,北海道士別市東6条4-1,0165-23-3121,44.1790521,142.4006231,Google Maps,,20
012211,北海道,名寄市,なよろし,096-8686,北海道名寄市大通南1-1,01654-3-2111,44.3457825,142.4635018,Google Maps,,21
012220,北海道,三笠市,みかさし,068-2192,北海道三笠市幸町2,01267-2-3181,43.2453335,141.8749253,Google Maps,,22
012238,北海道,根室市,ねむろし,087-8711,北海道根室市常盤町2-27,0153-23-6111,43.3300748,145.5827979,Google Maps,,23
012246,北海道,千歳市,ちとせし,066-8686,北海道千歳市東雲町2-34,0123-24-3131,42.8212783,141.6511985,Google Maps,,24
012254,北海道,滝川市,たきかわし,073-8686,北海道滝川市大町1-2-15,0125-23-1234,43.5577826,141.9104019,Google Maps,,25
012262,北海道,砂川市,すながわし,073-0195,北海道砂川市西7条北2-1-1,0125-54-2121,43.494157,141.9028405,Google Maps,,26
012271,北海道,歌志内市,うたしないし,073-0492,北海道歌志内市字本町5,0125-42-3212,43.5211226,142.034297,Google Maps,,27
012289,北海道,深川市,ふかがわし,074-8650,北海道深川市2条17-17,0164-26-2228,43.723306,142.0537373,Google Maps,,28
012297,北海道,富良野市,ふらのし,076-8555,北海道富良野市弥生町1-1,0167-39-2300,43.3420243,142.3832133,Google Maps,,29
